Year,Jurisdiction,Month,Area (hectares),Number
2017,British Columbia,January,0.009,1
2017,British Columbia,October,513.083,64
2017,British Columbia,November,1.22,4
2017,British Columbia,February,150.009,2
2017,British Columbia,March,19.256,10
2017,British Columbia,April,108.389,39
2017,British Columbia,May,864.437,90
2017,British Columbia,June,4135.645,142
2017,British Columbia,July,1130131.327,594
2017,British Columbia,August,76936.629,299
2017,British Columbia,September,3279.204,104
2018,British Columbia,January,0.009,1
2018,British Columbia,October,199.637,45
2018,British Columbia,November,0.018,2
2018,British Columbia,December,6.399,2
2018,British Columbia,March,140.502,14
2018,British Columbia,April,268.258,50
2018,British Columbia,May,36551.165,175
2018,British Columbia,June,11542.169,325
2018,British Columbia,July,603465.584,670
2018,British Columbia,August,701699.429,755
2018,British Columbia,September,128.809,50
2019,British Columbia,October,4.545,16
2019,British Columbia,November,93.267,7
2019,British Columbia,February,0.93,1
2019,British Columbia,March,436.815,27
2019,British Columbia,April,513.573,85
2019,British Columbia,May,10093.178,135
2019,British Columbia,June,468.211,191
2019,British Columbia,July,2467.828,152
2019,British Columbia,August,7357.923,125
2019,British Columbia,September,70.254,95
2020,British Columbia,March,87.556,19
1990,Manitoba,October,2123.4,36
1990,Manitoba,November,324.8,13
1990,Manitoba,December,0.2,1
1990,Manitoba,April,2774.5,39
1990,Manitoba,May,337.9,71
1990,Manitoba,June,400.6,85
1990,Manitoba,July,5377.4,90
1990,Manitoba,August,4754.3,176
1990,Manitoba,September,51.9,51
1991,Manitoba,January,40.7,5
1991,Manitoba,October,61.0,6
1991,Manitoba,February,0.5,3
1991,Manitoba,March,808.1,12
1991,Manitoba,April,22329.2,109
1991,Manitoba,May,61853.6,75
1991,Manitoba,June,582.2,77
1991,Manitoba,July,41440.5,142
1991,Manitoba,August,23712.6,222
1991,Manitoba,September,157.3,21
1992,Manitoba,October,8.6,4
1992,Manitoba,February,566.0,1
1992,Manitoba,March,0.3,1
1992,Manitoba,April,192.3,7
1992,Manitoba,May,3461.2,76
1992,Manitoba,June,267155.1,45
1992,Manitoba,July,150466.9,57
1992,Manitoba,August,11848.8,102
1992,Manitoba,September,74.6,5
1993,Manitoba,October,0.1,1
1993,Manitoba,March,650.0,2
1993,Manitoba,April,1313.4,39
1993,Manitoba,May,905.8,67
1993,Manitoba,June,62061.7,97
1993,Manitoba,July,2340.1,24
1993,Manitoba,August,2.6,6
1993,Manitoba,September,0.7,3
1994,Manitoba,October,765.0,7
1994,Manitoba,November,0.1,1
1994,Manitoba,March,25.0,1
1994,Manitoba,April,2695.8,49
1994,Manitoba,May,4105.1,115
1994,Manitoba,June,890225.1,170
1994,Manitoba,July,352706.0,82
1994,Manitoba,August,158771.7,73
1994,Manitoba,September,19491.9,57
1995,Manitoba,October,2989.9,21
1995,Manitoba,April,935.9,13
1995,Manitoba,May,37707.6,154
1995,Manitoba,June,789658.1,344
1995,Manitoba,July,57393.9,90
1995,Manitoba,August,429.1,28
1995,Manitoba,September,122.7,12
1996,Manitoba,October,6.5,4
1996,Manitoba,April,0.2,1
1996,Manitoba,May,2587.4,77
1996,Manitoba,June,40539.6,103
1996,Manitoba,July,51528.1,155
1996,Manitoba,August,16851.3,59
