,Year,Jurisdiction,Month,Area (hectares),Number,ONI,Phase,DateTime,MeanNum,MeanArea,anomalyArea,anomalyNumber
726,2005,British Columbia,July,5765.023,145,-0.06,N,2005-07-01,490.9,97810.56520000003,-2.831223456530525,-1.2195066986434322
727,2005,British Columbia,August,1028.066,250,-0.14,N,2005-08-01,646.1333333333333,39134.222799999996,-3.639317980292037,-0.9495449629719598
728,2005,Manitoba,May,126.2,31,0.29,N,2005-05-01,61.733333333333334,11219.75666666667,-4.487563541271535,-0.688836829058823
729,2005,Manitoba,June,3191.7,22,0.11,N,2005-06-01,81.1,113683.52999999998,-3.572864845174449,-1.3046405077630514
730,2005,Manitoba,July,67982.8,140,-0.06,N,2005-07-01,96.83333333333333,65655.53333333334,0.034832849456014746,0.36865113498544805
731,2005,Manitoba,August,452.8,21,-0.14,N,2005-08-01,69.0,21649.239999999998,-3.8672751019994083,-1.1895840668738362
732,2005,New Brunswick,May,38.3,41,0.29,N,2005-05-01,101.36666666666666,324.7366666666666,-2.1375647012977326,-0.9051722393109014
733,2005,New Brunswick,June,22.8,39,0.11,N,2005-06-01,48.666666666666664,407.5666666666666,-2.8834439825216394,-0.2214326869105802
734,2005,New Brunswick,July,57.2,29,-0.06,N,2005-07-01,39.266666666666666,36.99666666666667,0.4357260798899738,-0.30308015256290266
735,2005,New Brunswick,August,27.0,49,-0.14,N,2005-08-01,47.3,32.88666666666667,-0.19723044113315358,0.03531000261273929
736,2005,Newfoundland and Labrador,May,87.0,34,0.29,N,2005-05-01,28.866666666666667,340.4933333333334,-1.3644874276928953,0.16367299771588165
737,2005,Newfoundland and Labrador,June,72.6,31,0.11,N,2005-06-01,23.233333333333334,3956.4066666666668,-3.9981265630670477,0.2883991753867777
738,2005,Newfoundland and Labrador,July,6.6,23,-0.06,N,2005-07-01,15.266666666666667,5015.961599999999,-6.63331077774868,0.40982241347712
739,2005,Newfoundland and Labrador,August,3.2,14,-0.14,N,2005-08-01,16.433333333333334,4493.5539393333365,-7.247248381078126,-0.1602544627652762
740,2005,Northwest Territories,May,2989.99,15,0.29,N,2005-05-01,10.166666666666666,17611.68966666667,-1.7732928242611286,0.3889358061569539
741,2005,Northwest Territories,June,5700.47,43,0.11,N,2005-06-01,74.3,296274.0203466667,-3.9507361429198515,-0.546910836030151
742,2005,Northwest Territories,July,209403.44,194,-0.06,N,2005-07-01,116.16666666666667,270865.54480666673,-0.25735982694367765,0.5128322175308592
743,2005,Northwest Territories,August,36.81,5,-0.14,N,2005-08-01,37.36666666666667,34038.66033333333,-6.829482678861918,-2.011341128975904
744,2005,Nova Scotia,May,9.0,12,0.29,N,2005-05-01,86.6,185.45746667033328,-3.025600988233374,-1.976393165780389
745,2005,Nova Scotia,June,21.0,39,0.11,N,2005-06-01,33.53333333333333,148.04179999833335,-1.952972228585335,0.15102167713211737
746,2005,Nova Scotia,July,1.0,15,-0.06,N,2005-07-01,30.866666666666667,34.10286666516667,-3.5293814471832623,-0.721626651881814
747,2005,Nova Scotia,August,15.0,41,-0.14,N,2005-08-01,28.566666666666666,28.31560000083334,-0.6353626884503624,0.3613315297686834
748,2005,Ontario,May,1471.800001,159,0.29,N,2005-05-01,178.96666666666667,21420.913333643322,-2.6778815612131774,-0.11829536654018255
749,2005,Ontario,June,14070.9,194,0.11,N,2005-06-01,214.43333333333334,73529.24666674131,-1.6535744059398627,-0.1001407306855169
750,2005,Ontario,July,11027.9,597,-0.06,N,2005-07-01,273.73333333333335,45599.263333547664,-1.4194631361306989,0.7797627169159332
751,2005,Ontario,August,15451.3,694,-0.14,N,2005-08-01,282.8,15268.00333374793,0.011933788967145533,0.8977320264843868
756,2005,Quebec,May,576559.6,258,0.29,N,2005-05-01,172.46666666666667,34188.71666666667,2.8251830492409757,0.4027556038377984
757,2005,Quebec,June,74758.5,160,0.11,N,2005-06-01,176.83333333333334,159924.09999999998,-0.7604364095017949,-0.10003385415210123
758,2005,Quebec,July,146333.2,431,-0.06,N,2005-07-01,126.86666666666666,64893.493333333354,0.8131388513662617,1.2229714239098084
759,2005,Quebec,August,827.3,313,-0.14,N,2005-08-01,114.7,13285.800000000001,-2.7762836884760342,1.0038831664048282
760,2005,Saskatchewan,May,3842.34,72,0.29,N,2005-05-01,132.0,82480.8007005367,-3.0664839914699606,-0.6061358035703156
761,2005,Saskatchewan,June,40423.64,32,0.11,N,2005-06-01,139.5,240441.73137799994,-1.7830630166691146,-1.4723286984616937
762,2005,Saskatchewan,July,168588.02,188,-0.06,N,2005-07-01,123.46666666666667,92916.68320466668,0.5957547751962662,0.42047074872603457
763,2005,Saskatchewan,August,101.45,14,-0.14,N,2005-08-01,92.06666666666666,61460.80761933333,-6.406588909894706,-1.8834556226918235
764,2005,Yukon,May,26.06,12,0.29,N,2005-05-01,17.133333333333333,14600.006000000001,-6.328375646958548,-0.35611923400500933
765,2005,Yukon,June,176741.93,45,0.11,N,2005-06-01,46.266666666666666,110718.75306666669,0.467697416262156,-0.0277592696342746
766,2005,Yukon,July,10669.92,20,-0.06,N,2005-07-01,36.5,52139.65806666666,-1.5864972828703672,-0.6015799870344549
767,2005,Yukon,August,0.22,4,-0.14,N,2005-08-01,15.9,7316.592333333331,-10.412027702960073,-1.3800247481062953
768,2006,Alberta,May,3192.94,388,-0.14,N,2006-05-01,293.3,109081.34033333331,-3.5311517230689997,0.2798093636398681
769,2006,Alberta,June,89315.48,325,-0.03,N,2006-06-01,246.3,43903.09533333333,0.7101899947961883,0.2772748772032452
770,2006,Alberta,July,20460.3,521,0.1,N,2006-07-01,262.4,27698.73566666666,-0.3029003451763536,0.685879984683433
771,2006,Alberta,August,1979.82,149,0.3,N,2006-08-01,179.2,14241.275333333331,-1.9731385304156197,-0.18455619459537093
772,2006,British Columbia,May,3722.012,202,-0.14,N,2006-05-01,173.93333333333334,10548.055033333332,-1.0416771036082726,0.14959561336668628
773,2006,British Columbia,June,37090.341,230,-0.03,N,2006-06-01,213.46666666666667,16654.6782,0.8006654353781144,0.07459861646874552
774,2006,British Columbia,July,84068.044,1072,0.1,N,2006-07-01,490.9,97810.56520000003,-0.15140608128509728,0.7810409005667406
775,2006,British Columbia,August,2357.783,503,0.3,N,2006-08-01,646.1333333333333,39134.222799999996,-2.8092755768599824,-0.2504157107344671
776,2006,Manitoba,May,316.6,26,-0.14,N,2006-05-01,61.733333333333334,11219.75666666667,-3.5677923439317354,-0.8647274955224873
777,2006,Manitoba,June,149288.9,237,-0.03,N,2006-06-01,81.1,113683.52999999998,0.27246481944608614,1.072377180013764
778,2006,Manitoba,July,2078.2,172,0.1,N,2006-07-01,96.83333333333333,65655.53333333334,-3.4529197481121976,0.5745031891895969
779,2006,Manitoba,August,11058.2,115,0.3,N,2006-08-01,69.0,21649.239999999998,-0.6717981157008147,0.5108256237659907
780,2006,New Brunswick,May,201.4,64,-0.14,N,2006-05-01,101.36666666666666,324.7366666666666,-0.4777216171998707,-0.45986122265553736
781,2006,New Brunswick,June,8.3,9,-0.03,N,2006-06-01,48.666666666666664,407.5666666666666,-3.893949003679482,-1.6877697557040072
782,2006,New Brunswick,July,9.8,33,0.1,N,2006-07-01,39.266666666666666,36.99666666666667,-1.3284454328192523,-0.17386842108289635
783,2006,New Brunswick,August,2.9,22,0.3,N,2006-08-01,47.3,32.88666666666667,-2.4283565701450542,-0.7654678421395713
784,2006,Newfoundland and Labrador,May,89.2,33,-0.14,N,2006-05-01,28.866666666666667,340.4933333333334,-1.3395145067615153,0.13382003456620042
785,2006,Newfoundland and Labrador,June,34.4,5,-0.03,N,2006-06-01,23.233333333333334,3956.4066666666668,-4.745034920518446,-1.5361501166642682
786,2006,Newfoundland and Labrador,July,3.7,9,0.1,N,2006-07-01,15.266666666666667,5015.961599999999,-7.212047607130882,-0.5284472251158103
787,2006,Newfoundland and Labrador,August,0.2,7,0.3,N,2006-08-01,16.433333333333334,4493.5539393333365,-10.019837103317908,-0.8534016433252215
788,2006,Northwest Territories,May,0.01,1,-0.14,N,2006-05-01,10.166666666666666,17611.68966666667,-14.381488332146754,-2.319114394945256
789,2006,Northwest Territories,June,4709.6,34,-0.03,N,2006-06-01,74.3,296274.0203466667,-4.1416817917694715,-0.781750427107552
790,2006,Northwest Territories,July,39652.79,58,0.1,N,2006-07-01,116.16666666666667,270865.54480666673,-1.9214612418292039,-0.6945829309860496
791,2006,Northwest Territories,August,8913.53,63,0.3,N,2006-08-01,37.36666666666667,34038.66033333333,-1.3399266001853258,0.5223556849815282
792,2006,Nova Scotia,May,66.0,29,-0.14,N,2006-05-01,86.6,185.45746667033328,-1.0331708235431678,-1.0940039855819155
793,2006,Nova Scotia,June,0.0,1,-0.03,N,2006-06-01,33.53333333333333,148.04179999833335,-inf,-3.512539968997529
794,2006,Nova Scotia,July,0.0,6,0.1,N,2006-07-01,30.866666666666667,34.10286666516667,-inf,-1.637917383755969
795,2006,Nova Scotia,August,4.0,10,0.3,N,2006-08-01,28.566666666666666,28.31560000083334,-1.9571185284326817,-1.0496554439415786
796,2006,Ontario,May,551.8000001,150,-0.14,N,2006-05-01,178.96666666666667,21420.913333643322,-3.6589373204207054,-0.17656427466415833
797,2006,Ontario,June,11462.2,273,-0.03,N,2006-06-01,214.43333333333334,73529.24666674131,-1.8586285759661907,0.2414729054361147
798,2006,Ontario,July,20572.5,593,0.1,N,2006-07-01,273.73333333333335,45599.263333547664,-0.7959363289260565,0.7730400025210565
799,2006,Ontario,August,55649.2,500,0.3,N,2006-08-01,282.8,15268.00333374793,1.293308348825021,0.5698681643997741
804,2006,Quebec,May,24971.5,106,-0.14,N,2006-05-01,172.46666666666667,34188.71666666667,-0.3141604930310934,-0.486764886971752
805,2006,Quebec,June,102037.1,256,-0.03,N,2006-06-01,176.83333333333334,159924.09999999998,-0.4493628550400242,0.3699697750936342
806,2006,Quebec,July,9226.0,129,0.1,N,2006-07-01,126.86666666666666,64893.493333333354,-1.9507217767430247,0.01667573816773276
807,2006,Quebec,August,6.7,49,0.3,N,2006-08-01,114.7,13285.800000000001,-7.592343548275251,-0.8504997260246984
