Year,Location,Fire size class,Area_hectares,Number,Number_Percentage
2019,AB,0.11 - 1.0 ha,90.21,208,0.5471524398263843
2019,AB,1.1 - 10 ha,352.75,98,0.2577929764566618
2019,AB,10 000 - 100 000 ha,236997.7,5,0.013152702880441932
2019,AB,10.1 - 100 ha,1186.33,36,0.09469946073918191
2019,AB,100.1 - 1 000 ha,4582.2,19,0.049980270945679334
2019,AB,1000 - 10 000 ha,19535.3,9,0.023674865184795477
2019,AB,Over 100 000,623179.89,2,0.005261081152176773
2019,AB,Up to 0.1 ha,18.86,644,1.694068131000921
1990,BC,0.11 - 1.0 ha,291.5,666,1.1742718104238663
1990,BC,1.1 - 10 ha,1181.1,315,0.5553988292545313
1990,BC,10 000 - 100 000 ha,36293.4,2,0.0035263417730446436
1990,BC,10.1 - 100 ha,4259.3,122,0.21510684815572323
1990,BC,100.1 - 1 000 ha,12492.7,40,0.07052683546089288
1990,BC,1000 - 10 000 ha,21120.6,10,0.01763170886522322
1990,BC,Up to 0.1 ha,143.2,2100,3.702658861696876
1991,BC,0.11 - 1.0 ha,175.0,378,0.6664785951054376
1991,BC,1.1 - 10 ha,1063.8,274,0.4831088229071161
1991,BC,10.1 - 100 ha,3185.4,80,0.14105367092178575
1991,BC,100.1 - 1 000 ha,7551.0,27,0.047605613936102686
1991,BC,1000 - 10 000 ha,12652.4,5,0.00881585443261161
1991,BC,Up to 0.1 ha,81.2,1249,2.2022004372663795
1992,BC,0.11 - 1.0 ha,314.9,722,1.2730093800691162
1992,BC,1.1 - 10 ha,890.9,268,0.4725297975879822
1992,BC,10.1 - 100 ha,2701.8,86,0.15163269624091968
1992,BC,100.1 - 1 000 ha,7853.7,27,0.047605613936102686
1992,BC,1000 - 10 000 ha,18537.2,7,0.012342196205656252
1992,BC,Up to 0.1 ha,154.3,2695,4.751745539177657
1993,BC,0.11 - 1.0 ha,113.4,234,0.41258198744622326
1993,BC,1.1 - 10 ha,787.2,211,0.37202905705620987
1993,BC,10.1 - 100 ha,2253.4,70,0.12342196205656253
1993,BC,100.1 - 1 000 ha,1972.4,9,0.015868537978700897
1993,BC,Up to 0.1 ha,57.0,973,1.715565272586219
1994,BC,0.11 - 1.0 ha,291.5,689,1.2148247408138797
1994,BC,1.1 - 10 ha,1055.0,314,0.5536356583680091
1994,BC,10.1 - 100 ha,3935.7,114,0.20100148106354468
1994,BC,100.1 - 1 000 ha,7265.3,25,0.04407927216305804
1994,BC,1000 - 10 000 ha,17032.2,7,0.012342196205656252
1994,BC,Up to 0.1 ha,175.6,2908,5.127300938006911
1995,BC,0.11 - 1.0 ha,148.9,314,0.5536356583680091
1995,BC,1.1 - 10 ha,789.3,226,0.39847662035404474
1995,BC,10 000 - 100 000 ha,27616.0,2,0.0035263417730446436
1995,BC,10.1 - 100 ha,1280.5,51,0.0899217152126384
1995,BC,100.1 - 1 000 ha,2406.9,8,0.014105367092178574
1995,BC,1000 - 10 000 ha,15787.3,5,0.00881585443261161
1995,BC,Up to 0.1 ha,51.1,868,1.5304323295013753
1996,BC,0.11 - 1.0 ha,105.4,261,0.46018760138232595
1996,BC,1.1 - 10 ha,426.1,123,0.21687001904224557
1996,BC,10.1 - 100 ha,994.6,31,0.05465829748219198
1996,BC,100.1 - 1 000 ha,4771.0,12,0.02115805063826786
1996,BC,1000 - 10 000 ha,14325.0,3,0.005289512659566965
1996,BC,Up to 0.1 ha,47.0,930,1.639748924465759
1997,BC,0.11 - 1.0 ha,88.0,205,0.36145003173707596
1997,BC,1.1 - 10 ha,396.5,122,0.21510684815572323
1997,BC,10.1 - 100 ha,609.0,22,0.038789759503491075
1997,BC,100.1 - 1 000 ha,779.0,4,0.007052683546089287
1997,BC,1000 - 10 000 ha,1054.0,1,0.0017631708865223218
1997,BC,Up to 0.1 ha,41.3,822,1.4493264687213485
1998,BC,0.11 - 1.0 ha,241.73,584,1.0296917977290359
1998,BC,1.1 - 10 ha,1137.8,321,0.5659778545736652
1998,BC,10 000 - 100 000 ha,25241.0,2,0.0035263417730446436
1998,BC,10.1 - 100 ha,3284.3,94,0.16573806333309823
1998,BC,100.1 - 1 000 ha,13707.3,38,0.06700049368784822
1998,BC,1000 - 10 000 ha,32855.2,10,0.01763170886522322
1998,BC,Up to 0.1 ha,100.014,1613,2.843994639960505
1999,BC,0.11 - 1.0 ha,108.7,235,0.4143451583327456
1999,BC,1.1 - 10 ha,544.43,140,0.24684392411312506
1999,BC,10.1 - 100 ha,2364.6,59,0.10402708230481698
1999,BC,100.1 - 1 000 ha,4231.9,17,0.029973905070879468
1999,BC,1000 - 10 000 ha,4266.0,3,0.005289512659566965
1999,BC,Up to 0.1 ha,39.78,744,1.3117991395726074
2000,BC,0.11 - 1.0 ha,128.93,326,0.5747937090062769
2000,BC,1.1 - 10 ha,710.05,185,0.3261866140066295
2000,BC,10.1 - 100 ha,2138.0,59,0.10402708230481698
2000,BC,100.1 - 1 000 ha,4054.6,12,0.02115805063826786
2000,BC,1000 - 10 000 ha,10477.6,2,0.0035263417730446436
2000,BC,Up to 0.1 ha,42.832,942,1.6609069751040273
2001,BC,0.11 - 1.0 ha,134.17,298,0.5254249241836518
2001,BC,1.1 - 10 ha,686.85,186,0.32794978489315185
2001,BC,10.1 - 100 ha,1053.9,37,0.06523732280132591
2001,BC,100.1 - 1 000 ha,3383.0,9,0.015868537978700897
2001,BC,1000 - 10 000 ha,4542.0,2,0.0035263417730446436
2001,BC,Up to 0.1 ha,27.029,759,1.3382467028704423
2002,BC,0.11 - 1.0 ha,179.58,420,0.7405317723393751
2002,BC,1.1 - 10 ha,829.63,225,0.3967134494675224
2002,BC,10.1 - 100 ha,1824.4,58,0.10226391141829466
2002,BC,100.1 - 1 000 ha,2364.18,9,0.015868537978700897
2002,BC,1000 - 10 000 ha,3343.0,2,0.0035263417730446436
2002,BC,Up to 0.1 ha,29.77,1058,1.8654347979406165
2003,BC,0.11 - 1.0 ha,221.61,505,0.8904012976937724
2003,BC,1.1 - 10 ha,901.917,263,0.4637139431553706
2003,BC,10 000 - 100 000 ha,136735.7,6,0.01057902531913393
2003,BC,10.1 - 100 ha,4518.4,115,0.20276465195006702
2003,BC,100.1 - 1 000 ha,20909.82,61,0.10755342407786161
2003,BC,1000 - 10 000 ha,101582.3,34,0.059947810141758935
2003,BC,Up to 0.1 ha,43.815,1473,2.5971507158473797
2004,BC,0.11 - 1.0 ha,229.74,475,0.8375061710981029
2004,BC,1.1 - 10 ha,870.23,256,0.4513717469497144
